item,cate
0,3
1,0
2,2
3,11
4,4
5,3
6,2
7,2
8,0
9,2
10,0
11,3
12,0
13,2
14,0
15,2
16,0
17,3
18,2
19,0
20,9
21,2
22,1
23,0
24,2
25,2
26,3
27,2
28,4
29,7
30,0
31,3
32,2
33,0
34,3
35,1
36,2
37,1
38,1
39,7
40,7
41,7
42,7
43,3
44,3
45,0
46,2
47,0
48,8
49,0
50,4
51,1
52,4
53,8
54,2
55,3
56,2
57,2
58,2
59,4
60,2
61,2
62,4
63,6
64,2
65,1
66,2
67,1
68,2
69,0
70,0
71,3
72,2
73,0
74,7
75,2
76,1
77,6
78,2
79,0
80,2
81,2
82,2
83,2
84,4
85,4
86,1
87,0
88,0
89,0
90,4
91,4
92,7
93,2
94,1
95,3
96,2
97,2
98,3
99,7
100,2
101,3
102,3
103,2
104,3
105,2
106,7
107,3
108,2
109,7
110,3
111,2
112,2
113,3
114,7
115,3
116,3
117,3
118,3
119,0
120,2
121,4
122,2
123,1
124,4
125,2
126,2
127,0
128,0
129,2
130,2
131,3
132,6
133,3
134,0
135,0
136,0
137,2
138,0
139,2
140,0
141,0
142,2
143,2
144,2
145,2
146,6
147,1
148,1
149,2
150,7
151,2
152,3
153,0
154,2
155,1
156,3
157,3
158,2
159,2
160,2
161,2
162,2
163,2
164,2
165,3
166,2
167,2
168,0
169,0
170,3
171,3
172,1
173,2
174,4
175,3
176,0
177,0
178,1
179,2
180,2
181,2
182,0
183,0
184,3
185,3
186,2
187,2
188,0
189,2
190,0
191,2
192,2
193,2
194,2
195,2
196,2
197,0
198,3
199,0
200,1
201,2
202,2
203,4
204,2
205,0
206,2
207,1
208,2
209,4
210,5
211,0
212,1
213,0
214,1
215,2
216,5
217,2
218,2
219,3
220,6
221,0
222,2
223,2
224,1
225,10
226,2
227,2
228,2
229,6
230,12
231,0
232,8
233,4
234,0
235,0
236,4
237,1
238,4
239,0
240,2
241,1
242,8
243,3
244,7
245,7
246,3
247,2
248,2
249,2
250,0
251,2
252,3
253,2
254,4
255,1
256,2
257,2
258,2
259,0
260,1
261,3
262,1
263,0
264,1
265,0
266,3
267,3
268,3
269,3
270,4
271,3
272,1
273,2
274,3
275,3
276,3
277,4
278,0
279,2
280,2
281,2
282,0
283,2
284,2
285,2
286,4
287,0
288,2
289,2
290,2
291,0
292,6
293,2
294,2
295,2
296,0
297,2
298,7
299,1
300,2
301,3
302,0
303,2
304,0
305,1
306,4
307,0
308,3
309,2
310,2
311,1
312,0
313,1
314,1
315,1
316,0
317,3
318,1
319,0
320,0
321,0
322,4
323,0
324,4
325,2
326,0
327,2
328,2
329,2
330,1
331,2
332,2
333,1
334,2
335,2
336,2
337,1
338,2
339,2
340,1
341,1
342,0
343,1
344,2
345,0
346,6
347,0
348,6
349,2
350,2
351,1
352,2
353,1
354,1
355,2
356,0
357,6
358,4
359,2
360,1
361,2
362,3
363,3
364,1
365,1
366,1
367,2
368,1
369,1
370,2
371,3
372,1
373,4
374,0
375,3
376,10
377,14
378,3
379,2
380,2
381,3
382,10
383,2
384,1
385,2
386,3
387,3
388,9
389,2
390,4
391,2
392,0
393,2
394,1
395,7
396,17
397,5
398,7
399,1
400,12
401,1
402,1
403,3
404,0
405,0
406,4
407,4
408,2
409,4
410,1
411,1
412,2
413,0
414,4
415,4
416,11
417,0
418,2
419,7
420,1
421,11
422,1
423,3
424,3
425,3
426,2
427,4
428,11
429,0
430,2
431,3
432,1
433,4
434,1
435,4
436,0
437,11
438,2
439,2
440,4
441,2
442,2
443,17
444,4
445,4
446,0
447,4
448,1
449,2
450,3
451,2
452,4
453,4
454,9
455,1
456,0
457,2
458,1
459,2
460,12
461,2
462,0
463,2
464,4
465,1
466,4
467,2
468,3
469,4
470,1
471,0
472,2
473,2
474,4
475,1
476,6
477,1
478,2
479,3
480,1
481,1
482,0
483,4
484,1
485,1
486,1
487,0
488,2
489,2
490,1
491,1
492,0
493,5
494,3
495,1
496,2
497,2
498,7
499,2
500,4
501,3
502,0
503,1
504,2
505,4
506,1
507,4
508,2
509,0
510,4
511,4
512,4
513,2
514,4
515,1
516,4
517,4
518,1
519,0
520,3
521,2
522,2
523,1
524,2
525,0
526,4
527,0
528,4
529,2
530,4
531,1
532,7
533,2
534,2
535,2
536,2
537,4
538,2
539,2
540,2
541,4
542,4
543,2
544,2
545,2
546,2
547,2
548,2
549,2
550,2
551,4
552,5
553,0
554,2
555,3
556,2
557,2
558,2
559,4
560,2
561,2
562,1
563,0
564,2
565,5
566,0
567,2
568,5
569,1
570,1
571,1
572,2
573,2
574,2
575,2
576,0
577,4
578,9
579,5
580,1
581,2
582,0
583,0
584,0
585,4
586,4
587,3
588,2
589,1
590,4
591,5
592,4
593,2
594,7
595,3
596,3
597,1
598,7
599,0
600,8
601,0
602,1
603,0
604,11
605,4
606,0
607,0
608,0
609,0
610,2
611,3
612,2
613,3
614,14
615,3
616,2
617,7
618,3
619,4
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,2
628,2
629,0
630,3
631,3
632,0
633,4
634,3
635,3
636,7
637,0
638,3
639,0
640,3
641,0
642,2
643,3
644,3
645,7
646,7
647,8
648,0
649,0
650,8
651,8
652,7
653,8
654,16
655,1
656,0
657,7
658,3
659,3
660,1
661,7
662,8
663,3
664,7
665,3
666,3
667,3
668,7
669,0
670,3
671,8
672,0
673,8
674,3
675,16
676,7
677,8
678,8
679,0
680,2
681,0
682,7
683,1
684,0
685,1
686,1
687,3
688,1
689,3
690,0
691,8
692,7
693,0
694,2
695,8
696,0
697,3
698,0
699,1
700,1
701,8
702,0
703,1
704,2
705,2
706,0
707,2
708,0
709,3
710,3
711,0
712,2
713,8
714,2
715,0
716,0
717,2
718,2
719,2
720,2
721,0
722,1
723,0
724,0
725,2
726,2
727,0
728,2
729,2
730,2
731,2
732,2
733,2
734,2
735,2
736,0
737,0
738,2
739,0
740,2
741,2
742,2
743,2
744,0
745,2
746,2
747,2
748,3
749,3
750,0
751,2
752,2
753,3
754,3
755,2
756,3
757,4
758,3
759,3
760,2
761,4
762,0
763,2
764,2
765,3
766,3
767,2
768,1
769,7
770,2
771,2
772,0
773,2
774,7
775,2
776,0
777,3
778,7
779,2
780,0
781,2
782,3
783,0
784,3
785,0
786,2
787,2
788,2
789,13
790,2
791,3
792,2
793,1
794,2
795,10
796,7
797,3
798,0
799,1
800,7
801,0
802,1
803,2
804,1
805,6
806,1
807,2
808,4
809,4
810,4
811,4
812,4
813,1
814,4
815,2
816,1
817,4
818,7
819,3
820,1
821,4
822,0
823,11
824,2
825,2
826,2
827,2
828,0
829,1
830,2
831,0
832,0
833,2
834,1
835,2
836,11
837,1
838,0
839,0
840,2
841,2
842,10
843,1
844,2
845,2
846,1
847,2
848,3
849,1
850,0
851,1
852,3
853,3
854,3
855,8
856,0
857,3
858,2
859,2
860,1
861,0
862,0
863,0
864,1
865,15
866,2
867,1
868,1
869,2
870,2
871,2
872,0
873,4
874,2
875,1
876,2
877,3
878,2
879,1
880,2
881,1
882,1
883,4
884,4
885,1
886,4
887,4
888,1
889,1
890,2
891,2
892,2
893,15
894,0
895,2
896,2
897,3
898,0
899,12
900,1
901,1
902,2
903,1
904,2
905,2
906,3
907,1
908,1
909,1
910,2
911,3
912,1
913,0
914,0
915,5
916,2
917,1
918,4
919,2
920,2
921,1
922,2
923,18
924,2
925,1
926,1
927,4
928,1
929,2
930,2
931,2
932,1
933,7
934,2
935,3
936,2
937,0
938,0
939,0
940,1
941,0
942,1
943,0
944,8
945,0
946,5
947,1
948,2
949,1
950,1
951,1
952,2
953,1
954,0
955,0
956,0
957,5
958,1
959,1
960,8
961,0
962,0
963,0
964,1
965,0
966,1
967,0
968,2
969,1
970,9
971,4
972,1
973,1
974,1
975,0
976,2
977,1
978,11
979,1
980,1
981,0
982,0
983,1
984,0
985,1
986,1
987,1
988,1
989,1
990,1
991,0
992,1
993,1
994,1
995,0
996,4
997,0
998,1
999,1
1000,0
1001,1
1002,1
1003,0
1004,0
1005,0
1006,1
1007,1
1008,0
1009,1
1010,1
1011,0
1012,1
1013,2
1014,0
1015,0
1016,1
1017,1
1018,1
1019,0
1020,0
1021,1
1022,1
1023,2
1024,1
1025,2
1026,2
1027,2
1028,2
1029,3
1030,0
1031,2
1032,2
1033,2
1034,2
1035,0
1036,2
1037,2
1038,2
1039,0
1040,2
1041,2
1042,2
1043,1
1044,3
1045,1
1046,2
1047,0
1048,1
1049,0
1050,3
1051,0
1052,4
1053,0
1054,0
1055,1
1056,2
1057,1
1058,3
1059,2
1060,2
1061,3
1062,2
1063,4
1064,2
1065,0
1066,0
1067,6
1068,9
1069,0
1070,4
1071,0
1072,4
1073,4
1074,4
1075,0
1076,0
1077,1
1078,1
1079,0
1080,3
1081,1
1082,3
1083,2
1084,2
1085,0
1086,0
1087,1
1088,1
1089,0
1090,1
1091,0
1092,2
1093,0
1094,0
1095,1
1096,0
1097,3
1098,1
1099,1
1100,3
1101,1
1102,1
1103,1
1104,3
1105,0
1106,0
1107,1
1108,0
1109,4
1110,0
1111,2
1112,0
1113,0
1114,0
1115,0
1116,0
1117,0
1118,1
1119,4
1120,0
1121,4
1122,3
1123,1
1124,7
1125,7
1126,2
1127,0
1128,1
1129,7
1130,4
1131,1
1132,0
1133,0
1134,1
1135,0
1136,1
1137,0
1138,1
1139,3
1140,1
1141,4
1142,0
1143,1
1144,15
1145,3
1146,4
1147,2
1148,0
1149,0
1150,1
1151,2
1152,0
1153,0
1154,1
1155,15
1156,1
1157,0
1158,2
1159,1
1160,2
1161,0
1162,9
1163,2
1164,0
1165,0
1166,1
1167,1
1168,2
1169,1
1170,5
1171,1
1172,0
1173,2
1174,2
1175,2
1176,0
1177,0
1178,2
1179,0
1180,2
1181,0
1182,1
1183,0
1184,1
1185,1
1186,3
1187,4
1188,0
1189,1
1190,2
1191,1
1192,3
1193,0
1194,10
1195,0
1196,0
1197,0
1198,14
1199,1
1200,2
1201,0
1202,4
1203,2
1204,0
1205,1
1206,9
1207,2
1208,1
1209,0
1210,0
1211,0
1212,0
1213,0
1214,3
1215,2
1216,1
1217,0
1218,1
1219,0
1220,5
1221,1
1222,1
1223,1
1224,0
1225,1
1226,2
1227,1
1228,3
1229,0
1230,2
1231,4
1232,0
1233,0
1234,0
1235,1
1236,0
1237,0
1238,3
1239,2
1240,2
1241,0
1242,1
1243,4
1244,1
1245,0
1246,2
1247,2
1248,0
1249,0
1250,0
1251,0
1252,1
1253,0
1254,2
1255,0
1256,2
1257,1
1258,1
1259,0
1260,0
1261,6
1262,1
1263,1
1264,0
1265,0
1266,0
1267,0
1268,3
1269,2
1270,1
1271,1
1272,2
1273,0
1274,2
1275,0
1276,1
1277,2
1278,1
1279,3
1280,0
1281,4
1282,1
1283,1
1284,0
1285,8
1286,8
1287,1
1288,8
1289,0
1290,2
1291,3
1292,0
1293,3
1294,0
1295,2
1296,2
1297,0
1298,0
1299,0
1300,8
1301,0
1302,7
1303,3
1304,3
1305,8
1306,3
1307,7
1308,6
1309,0
1310,2
1311,2
1312,0
1313,2
1314,1
1315,0
1316,3
1317,0
1318,2
1319,0
1320,0
1321,0
1322,4
1323,7
1324,2
1325,1
1326,2
1327,2
1328,0
1329,2
1330,1
1331,0
1332,2
1333,2
1334,0
1335,2
1336,2
1337,5
1338,1
1339,8
1340,0
1341,1
1342,0
1343,0
1344,1
1345,0
1346,2
1347,1
1348,4
1349,6
1350,0
1351,1
1352,0
1353,1
1354,0
1355,0
1356,2
1357,1
1358,2
1359,1
1360,2
1361,3
1362,2
1363,2
1364,0
1365,0
1366,0
1367,0
1368,6
1369,1
1370,4
1371,0
1372,0
1373,1
1374,0
1375,2
1376,2
1377,2
1378,2
1379,2
1380,3
1381,2
1382,2
1383,1
1384,7
1385,2
1386,3
1387,1
1388,1
1389,1
1390,1
1391,4
1392,1
1393,1
1394,1
1395,2
1396,4
1397,0
1398,12
1399,1
1400,2
1401,5
1402,2
1403,6
1404,0
1405,0
1406,1
1407,0
1408,8
1409,1
1410,1
1411,0
1412,0
1413,0
1414,0
1415,1
1416,1
1417,2
1418,6
1419,0
1420,3
1421,4
1422,0
1423,4
1424,6
1425,6
1426,8
1427,0
1428,4
1429,2
1430,0
1431,3
1432,0
1433,0
1434,0
1435,0
1436,0
1437,2
1438,0
1439,0
1440,6
1441,1
1442,6
1443,0
1444,3
1445,6
1446,0
1447,0
1448,6
1449,0
1450,2
1451,1
1452,1
1453,11
1454,8
1455,2
1456,0
1457,2
1458,0
1459,6
1460,6
1461,2
1462,1
1463,1
1464,2
1465,0
1466,0
1467,6
1468,0
1469,1
1470,4
1471,0
1472,0
1473,0
1474,0
1475,4
1476,2
1477,0
1478,0
1479,0
1480,2
1481,4
1482,0
1483,0
1484,1
1485,0
1486,0
1487,0
1488,1
1489,0
1490,6
1491,2
1492,4
1493,0
1494,3
1495,0
1496,2
1497,7
1498,5
1499,2
1500,0
1501,1
1502,2
1503,1
1504,1
1505,2
1506,2
1507,2
1508,0
1509,2
1510,3
1511,0
1512,2
1513,2
1514,2
1515,2
1516,2
1517,2
1518,2
1519,2
1520,1
1521,0
1522,2
1523,2
1524,3
1525,7
1526,2
1527,5
1528,2
1529,4
1530,2
1531,2
1532,2
1533,2
1534,1
1535,0
1536,1
1537,2
1538,10
1539,0
1540,0
1541,0
1542,6
1543,0
1544,2
1545,2
1546,2
1547,5
1548,0
1549,1
1550,2
1551,3
1552,0
1553,4
1554,0
1555,0
1556,2
1557,1
1558,2
1559,1
1560,0
1561,0
1562,1
1563,1
1564,0
1565,1
1566,1
1567,1
1568,7
1569,0
1570,1
1571,0
1572,2
1573,0
1574,0
1575,4
1576,15
1577,4
1578,0
1579,2
1580,2
1581,2
1582,11
1583,0
1584,2
1585,1
1586,4
1587,7
1588,4
1589,0
1590,0
1591,3
1592,0
1593,0
1594,2
1595,0
1596,2
1597,2
1598,1
1599,1
1600,1
1601,1
1602,1
1603,4
1604,4
1605,8
1606,0
1607,1
1608,2
1609,3
1610,0
1611,2
1612,2
1613,3
1614,2
1615,2
1616,0
1617,1
1618,2
1619,1
1620,0
1621,4
1622,3
1623,2
1624,3
1625,0
1626,0
1627,4
1628,3
1629,0
1630,3
1631,1
1632,0
1633,2
1634,1
1635,1
1636,2
1637,2
1638,2
1639,0
1640,1
1641,0
1642,1
1643,2
1644,1
1645,2
1646,2
1647,1
1648,0
1649,3
1650,0
1651,2
1652,11
1653,2
1654,2
1655,1
1656,1
1657,2
1658,3
1659,2
1660,2
1661,2
1662,4
1663,3
1664,2
1665,2
1666,2
1667,12
1668,2
1669,2
1670,0
1671,1
1672,1
1673,0
1674,4
1675,1
1676,2
1677,6
1678,2
1679,13
1680,10
1681,1
1682,6
1683,13
1684,3
1685,2
1686,3
1687,2
1688,0
1689,0
1690,0
1691,2
1692,0
1693,0
1694,2
1695,2
1696,7
1697,3
1698,0
1699,0
1700,2
1701,7
1702,0
1703,0
1704,0
1705,2
1706,0
1707,1
1708,0
1709,0
1710,0
1711,7
1712,7
1713,0
1714,0
1715,1
1716,1
1717,1
1718,4
1719,0
1720,1
1721,3
1722,1
1723,1
1724,0
1725,0
1726,2
1727,0
1728,1
1729,1
1730,1
1731,0
1732,0
1733,1
1734,15
1735,2
1736,0
1737,2
1738,3
1739,0
1740,1
1741,0
1742,15
1743,1
1744,4
1745,1
1746,4
1747,1
1748,2
1749,0
1750,6
1751,2
1752,0
