item,cate
1,Adventure
2,Adventure
3,Comedy
4,Comedy
5,Comedy
6,Action
7,Comedy
8,Adventure
9,Action
10,Action
11,Comedy
12,Comedy
13,Adventure
14,Drama
15,Action
16,Crime
17,Drama
18,Comedy
19,Comedy
20,Action
21,Comedy
22,Crime
23,Action
24,Drama
25,Drama
26,Drama
27,Children
28,Drama
29,Adventure
30,Crime
31,Drama
32,Mystery
34,Children
36,Crime
38,Children
39,Comedy
40,Drama
41,Drama
42,Action
43,Drama
44,Action
45,Comedy
46,Drama
47,Mystery
48,Animation
49,Drama
50,Crime
52,Comedy
53,Adventure
54,Children
55,Drama
57,Drama
58,Comedy
60,Adventure
61,Drama
62,Drama
63,Comedy
64,Comedy
65,Comedy
66,Action
68,Comedy
69,Comedy
70,Action
71,Action
72,Comedy
73,Drama
74,Drama
75,Comedy
76,Action
77,Documentary
78,Action
79,Drama
80,Children
81,Crime
82,Comedy
83,Drama
85,Drama
86,Action
87,Children
88,Comedy
89,Action
92,Drama
93,Comedy
94,Comedy
95,Action
96,Comedy
97,Crime
99,Documentary
100,Drama
101,Adventure
102,Comedy
103,Mystery
104,Comedy
105,Drama
106,Comedy
107,Adventure
108,Documentary
110,Action
111,Crime
112,Action
113,Drama
116,Documentary
117,Crime
118,Comedy
119,Comedy
121,Drama
122,Comedy
123,Drama
125,Comedy
126,Adventure
128,Documentary
129,Comedy
132,Thriller
135,Comedy
137,Documentary
140,Drama
141,Comedy
144,Comedy
145,Action
146,Adventure
147,Drama
148,Drama
149,Crime
150,Adventure
151,Action
152,Drama
153,Action
154,Drama
155,Adventure
156,Comedy
157,Comedy
158,Adventure
159,Crime
160,Action
161,Drama
162,Documentary
163,Action
164,Crime
165,Action
166,Comedy
168,Action
169,Adventure
170,Action
171,Comedy
172,Action
173,Action
174,Comedy
175,Drama
176,Comedy
177,Horror
178,Comedy
179,Drama
180,Comedy
181,Action
183,Comedy
184,Drama
185,Action
186,Comedy
187,Comedy
188,Fantasy
189,Comedy
190,Thriller
191,Drama
193,Drama
194,Comedy
195,Comedy
196,Horror
198,Action
199,Drama
